mean_temperature,lowest_temperature,highest_temperature,max_wind,mean_wind,mean_releative_humidity,mean_steam_pressure,mean_local_atomospheric_pressure,highest_thawing_air_pressure,lowest_thawing_air_pressure,mean_thawing_air_pressure,total_sunshine_time,total_sumstroke,mean_vestibule,average_ground_temperature,quantity
18.4,14.9,23.7,4.5,1.9,64,13.1,1005.4,1016.7,1013.4,1015.5,5.6,14.14,6.1,17.8,0
17.8,14.9,21.2,4.4,2.1,72.9,14.7,1006.4,1018,1015,1016.5,0.8,6.88,9.1,17.2,1
13.4,9.5,18.2,5.1,1.9,67,10.1,1007.4,1021.2,1013.6,1017.7,8,19.56,6.1,15.9,1
7.6,6.7,9.5,3.5,2,90.6,9.4,1005.7,1020,1012,1016.1,0,2.15,9.9,8.9,1
5.8,3,8.6,5.7,3.1,71.6,6.7,1001,1012.4,1010.7,1011.5,4,11.19,8.9,8.7,1
4.2,1.4,8.6,6,4.1,45.5,3.7,1003.4,1016.9,1011.8,1014,9,18.24,5.1,6.2,1
3.9,0.6,7.9,3.6,1.8,59.6,4.7,1004.7,1017.2,1011.7,1015.3,3.3,7.93,6.1,5.2,1
7.9,0.1,15.4,2.9,1.1,57.9,5.4,1007.5,1020.4,1015.2,1017.9,9.5,21.52,2.6,10,0
15.1,6.9,21.9,8.8,3.5,51,9,1000,1017.3,1003.6,1010,6.3,17.52,6.3,13,1
12.6,8.7,17.3,6.1,3,49.4,6.9,1000.8,1014.8,1005.5,1011,11.8,24.86,2.6,15.1,0
13.3,6.8,19.6,6.2,2.6,30.5,4.3,1007.7,1022.3,1014.6,1018,12,24.56,1.3,13.6,0
14.6,8.3,19.3,3.7,1.3,22.9,3.7,1011.8,1025.3,1018,1022,2.7,12.68,8.9,12.1,0
9,7.5,14.8,4.1,1.8,78.8,8.9,999.5,1018.1,1005.9,1009.8,0.3,3.49,8.9,9.4,1
9.5,5.6,14.2,4.9,2.4,65.5,7.6,1002.3,1017,1009.6,1012.7,8.6,17.29,3.1,11.4,0
11.6,4.9,18.8,4.7,1.6,41.9,5.4,1009.3,1021.4,1016.9,1019.6,12.3,24.79,1,13.3,0
12.9,6.8,20.1,5.5,1.9,37.9,5.4,1009.5,1022,1017.5,1019.8,12.2,24.03,0.9,14.2,0
12.4,6.2,19.3,3.9,1.9,35.4,4.9,1007.4,1019.6,1015.5,1017.7,12,25.09,0.4,16.2,0
14,7.4,20.5,5.1,1.9,38.8,5.9,1007.8,1019.7,1016.2,1018,11.4,22.36,0,17.5,0
18.4,11,26.3,3.6,1.3,46,9.3,1009.3,1021.3,1017.4,1019.4,11.3,22.68,0.5,20.6,0
18.7,12.3,25.6,4.6,1.9,32,6,1008.1,1019.5,1016.6,1018.2,12.4,26.14,3.4,21.4,0
15.5,10.7,21,2.9,1.1,57.4,9.7,1007.9,1019.8,1015.9,1018.1,0,5.09,9.5,14.4,1
9.3,8.4,10.7,3,2.2,93.9,10.9,1005,1018,1013.6,1015.4,0,2.59,10,9.9,1
12.1,8.9,16.1,2.8,1.4,63.3,8.8,1001.6,1013.7,1010.2,1011.9,0,10.14,8,12.6,1
14.6,5.7,23.3,4.4,1.5,37.8,5.9,1003.2,1015.3,1011.1,1013.3,12.4,24.97,0.8,16.1,0
14.9,10,22.1,5.1,2.1,51.9,8.3,1003.7,1015.7,1011.8,1013.9,11.7,21.87,3.9,17.9,0
15.7,9.7,23.3,3.8,1.7,52.9,9.1,1004.2,1016.9,1012.4,1014.3,11.3,22.9,0.1,19.3,0
15.4,10.5,21.7,4.8,2,49,8,1006.2,1018.1,1014.5,1016.3,12.4,26.04,0,20,0
16.2,9.4,22.9,4.3,1.9,43.1,7.4,1003.4,1016.1,1010.7,1013.5,11.6,24.5,2.4,20.5,0
19.2,14.1,25,3.6,1.6,61.6,13.6,1004.4,1016.1,1012.9,1014.4,9.2,20.74,5.5,23,0
20.4,17.8,23.3,4,1.5,72.8,17.3,1003.5,1016.2,1010.3,1013.4,3.2,12.42,8.5,23.5,0
15.1,8.7,19.7,5.2,1.9,90.4,15.8,994.9,1010.3,1000.8,1004.9,0,2.47,9.9,16,1
11.2,6.9,14.7,5.3,2.7,62.4,8.1,997.4,1009.8,1006,1007.6,8.2,12.18,3.6,11.4,1
14.1,8.8,20,5.9,2.7,45.5,7,1001.5,1014.9,1009.3,1011.6,12.4,27.26,1.4,17.9,0
18.3,11.6,24.6,4.8,2.6,46.8,9.6,1004.7,1016.9,1013,1014.7,11,22.26,6,20.4,0
